,PLAYER_ID,PLAYER_NAME,TEAM_ID,Team,Age,Season,FGM,FGA,FG%,Distance
64,1628435,Chance Comanche,1610612757,POR,27.0,2022-23,1,2,0.5,0
65,1629646,Charles Bassey,1610612759,SAS,22.0,2022-23,65,91,0.714,0
66,1631320,Chima Moneke,1610612758,SAC,27.0,2022-23,1,2,0.5,0
67,1629002,Chimezie Metu,1610612758,SAC,26.0,2022-23,102,135,0.756,0
68,1628449,Chris Boucher,1610612761,TOR,30.0,2022-23,165,263,0.627,0
69,1630537,Chris Duarte,1610612754,IND,25.0,2022-23,40,81,0.494,0
70,101108,Chris Paul,1610612756,PHX,37.0,2022-23,12,32,0.375,0
71,1629735,Chris Silva,1610612742,DAL,26.0,2022-23,0,0,0.0,0
72,1631128,Christian Braun,1610612743,DEN,22.0,2022-23,93,141,0.66,0
73,1631132,Christian Koloko,1610612761,TOR,22.0,2022-23,61,109,0.56,0
74,1626174,Christian Wood,1610612742,DAL,27.0,2022-23,203,305,0.666,0
75,1629643,Chuma Okeke,1610612753,ORL,24.0,2022-23,15,24,0.625,0
76,203991,Clint Capela,1610612737,ATL,28.0,2022-23,320,473,0.677,0
77,1629632,Coby White,1610612741,CHI,23.0,2022-23,92,142,0.648,0
78,1628998,Cody Martin,1610612766,CHA,27.0,2022-23,8,14,0.571,0
79,203469,Cody Zeller,1610612748,MIA,30.0,2022-23,30,41,0.732,0
80,1630175,Cole Anthony,1610612753,ORL,22.0,2022-23,74,136,0.544,0
81,1631306,Cole Swider,1610612747,LAL,23.0,2022-23,0,0,0.0,0
82,1629012,Collin Sexton,1610612762,UTA,24.0,2022-23,115,197,0.584,0
83,1630557,Corey Kispert,1610612764,WAS,24.0,2022-23,102,140,0.729,0
84,202709,Cory Joseph,1610612765,DET,31.0,2022-23,38,62,0.613,0
85,1626156,D'Angelo Russell,1610612747,LAL,27.0,2022-23,118,177,0.667,0
86,1630227,Daishen Nix,1610612745,HOU,21.0,2022-23,34,68,0.5,0
87,1630625,Dalano Banton,1610612761,TOR,23.0,2022-23,33,45,0.733,0
88,1631207,Dalen Terry,1610612741,CHI,20.0,2022-23,22,36,0.611,0
89,1627745,Damian Jones,1610612762,UTA,27.0,2022-23,43,65,0.662,0
90,203081,Damian Lillard,1610612757,POR,32.0,2022-23,214,347,0.617,0
91,1627814,Damion Lee,1610612756,PHX,30.0,2022-23,40,75,0.533,0
92,1629655,Daniel Gafford,1610612764,WAS,24.0,2022-23,248,313,0.792,0
93,1628464,Daniel Theis,1610612754,IND,31.0,2022-23,13,21,0.619,0
94,201980,Danny Green,1610612739,CLE,35.0,2022-23,1,2,0.5,0
95,1627863,Danuel House Jr.,1610612755,PHI,29.0,2022-23,44,63,0.698,0
96,203967,Dario Saric,1610612760,OKC,29.0,2022-23,61,88,0.693,0
97,1629647,Darius Bazley,1610612756,PHX,22.0,2022-23,55,104,0.529,0
98,1630620,Darius Days,1610612745,HOU,23.0,2022-23,2,2,1.0,0
99,1629636,Darius Garland,1610612739,CLE,23.0,2022-23,146,261,0.559,0
100,1630561,David Duke Jr.,1610612751,BKN,23.0,2022-23,32,57,0.561,0
101,1631223,David Roddy,1610612763,MEM,22.0,2022-23,96,153,0.627,0
102,1630558,Davion Mitchell,1610612758,SAC,24.0,2022-23,77,115,0.67,0
103,202722,Davis Bertans,1610612742,DAL,30.0,2022-23,11,16,0.688,0
104,1628432,Davon Reed,1610612747,LAL,27.0,2022-23,4,9,0.444,0
105,1630549,Day'Ron Sharpe,1610612751,BKN,21.0,2022-23,83,137,0.606,0
106,1628368,De'Aaron Fox,1610612758,SAC,25.0,2022-23,241,320,0.753,0
107,1629631,De'Andre Hunter,1610612737,ATL,25.0,2022-23,112,190,0.589,0
108,1629001,De'Anthony Melton,1610612755,PHI,24.0,2022-23,88,161,0.547,0
109,201599,DeAndre Jordan,1610612743,DEN,34.0,2022-23,85,106,0.802,0
110,201942,DeMar DeRozan,1610612741,CHI,33.0,2022-23,184,270,0.681,0
