,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM,Age,Season,FGM,FGA,FG%,Zone
64,1628435,Chance Comanche,1610612757,POR,27.0,2022-23,1,2,0.5,0
65,1629646,Charles Bassey,1610612759,SAS,22.0,2022-23,61,84,0.726,0
66,1631320,Chima Moneke,1610612758,SAC,27.0,2022-23,1,2,0.5,0
67,1629002,Chimezie Metu,1610612758,SAC,26.0,2022-23,96,126,0.762,0
68,1628449,Chris Boucher,1610612761,TOR,30.0,2022-23,157,247,0.636,0
69,1630537,Chris Duarte,1610612754,IND,25.0,2022-23,40,78,0.513,0
70,101108,Chris Paul,1610612756,PHX,37.0,2022-23,12,26,0.462,0
71,1629735,Chris Silva,1610612742,DAL,26.0,2022-23,0,0,0.0,0
72,1631128,Christian Braun,1610612743,DEN,22.0,2022-23,90,132,0.682,0
73,1631132,Christian Koloko,1610612761,TOR,22.0,2022-23,61,107,0.57,0
74,1626174,Christian Wood,1610612742,DAL,27.0,2022-23,185,275,0.673,0
75,1629643,Chuma Okeke,1610612753,ORL,24.0,2022-23,14,21,0.667,0
76,203991,Clint Capela,1610612737,ATL,28.0,2022-23,313,448,0.699,0
77,1629632,Coby White,1610612741,CHI,23.0,2022-23,85,132,0.644,0
78,1628998,Cody Martin,1610612766,CHA,27.0,2022-23,8,14,0.571,0
79,203469,Cody Zeller,1610612748,MIA,30.0,2022-23,28,38,0.737,0
80,1630175,Cole Anthony,1610612753,ORL,22.0,2022-23,67,114,0.588,0
81,1631306,Cole Swider,1610612747,LAL,23.0,2022-23,0,0,0.0,0
82,1629012,Collin Sexton,1610612762,UTA,24.0,2022-23,99,168,0.589,0
83,1630557,Corey Kispert,1610612764,WAS,24.0,2022-23,96,130,0.738,0
84,202709,Cory Joseph,1610612765,DET,31.0,2022-23,31,52,0.596,0
85,1626156,D'Angelo Russell,1610612747,LAL,27.0,2022-23,113,161,0.702,0
86,1630227,Daishen Nix,1610612745,HOU,21.0,2022-23,29,57,0.509,0
87,1630625,Dalano Banton,1610612761,TOR,23.0,2022-23,32,41,0.78,0
88,1631207,Dalen Terry,1610612741,CHI,20.0,2022-23,20,33,0.606,0
89,1627745,Damian Jones,1610612762,UTA,27.0,2022-23,42,61,0.689,0
90,203081,Damian Lillard,1610612757,POR,32.0,2022-23,205,324,0.633,0
91,1627814,Damion Lee,1610612756,PHX,30.0,2022-23,38,68,0.559,0
92,1629655,Daniel Gafford,1610612764,WAS,24.0,2022-23,225,275,0.818,0
93,1628464,Daniel Theis,1610612754,IND,31.0,2022-23,13,21,0.619,0
94,201980,Danny Green,1610612739,CLE,35.0,2022-23,1,2,0.5,0
95,1627863,Danuel House Jr.,1610612755,PHI,29.0,2022-23,44,61,0.721,0
96,203967,Dario Saric,1610612760,OKC,29.0,2022-23,54,76,0.711,0
97,1629647,Darius Bazley,1610612756,PHX,22.0,2022-23,52,94,0.553,0
98,1630620,Darius Days,1610612745,HOU,23.0,2022-23,2,2,1.0,0
99,1629636,Darius Garland,1610612739,CLE,23.0,2022-23,130,227,0.573,0
100,1630561,David Duke Jr.,1610612751,BKN,23.0,2022-23,29,50,0.58,0
101,1631223,David Roddy,1610612763,MEM,22.0,2022-23,90,135,0.667,0
102,1630558,Davion Mitchell,1610612758,SAC,24.0,2022-23,69,104,0.663,0
103,202722,Davis Bertans,1610612742,DAL,30.0,2022-23,10,15,0.667,0
104,1628432,Davon Reed,1610612747,LAL,27.0,2022-23,4,9,0.444,0
105,1630549,Day'Ron Sharpe,1610612751,BKN,21.0,2022-23,78,128,0.609,0
106,1628368,De'Aaron Fox,1610612758,SAC,25.0,2022-23,218,285,0.765,0
107,1629631,De'Andre Hunter,1610612737,ATL,25.0,2022-23,101,168,0.601,0
108,1629001,De'Anthony Melton,1610612755,PHI,24.0,2022-23,86,150,0.573,0
109,201599,DeAndre Jordan,1610612743,DEN,34.0,2022-23,84,103,0.816,0
110,201942,DeMar DeRozan,1610612741,CHI,33.0,2022-23,175,246,0.711,0
111,1629731,Dean Wade,1610612739,CLE,26.0,2022-23,26,34,0.765,0
112,1629028,Deandre Ayton,1610612756,PHX,24.0,2022-23,255,326,0.782,0
113,1627749,Dejounte Murray,1610612737,ATL,26.0,2022-23,158,238,0.664,0
114,1626153,Delon Wright,1610612764,WAS,30.0,2022-23,58,77,0.753,0
115,1630166,Deni Avdija,1610612764,WAS,22.0,2022-23,146,217,0.673,0
116,203471,Dennis Schroder,1610612747,LAL,29.0,2022-23,77,144,0.535,0
117,1628372,Dennis Smith Jr.,1610612766,CHA,25.0,2022-23,108,171,0.632,0
118,1629126,Deonte Burton,1610612758,SAC,29.0,2022-23,0,0,0.0,0
119,1631220,Dereon Seabron,1610612740,NOP,22.0,2022-23,2,2,1.0,0
120,1627884,Derrick Jones Jr.,1610612741,CHI,26.0,2022-23,83,132,0.629,0
121,201565,Derrick Rose,1610612752,NYK,34.0,2022-23,20,39,0.513,0
122,1628401,Derrick White,1610612738,BOS,28.0,2022-23,107,163,0.656,0
123,1630217,Desmond Bane,1610612763,MEM,24.0,2022-23,160,262,0.611,0
124,1626164,Devin Booker,1610612756,PHX,26.0,2022-23,138,202,0.683,0
125,1630170,Devin Vassell,1610612759,SAS,22.0,2022-23,59,96,0.615,0
126,1629653,Devon Dotson,1610612764,WAS,23.0,2022-23,0,0,0.0,0
127,1628984,Devonte' Graham,1610612759,SAS,28.0,2022-23,15,33,0.455,0
128,203473,Dewayne Dedmon,1610612755,PHI,33.0,2022-23,40,63,0.635,0
129,1628415,Dillon Brooks,1610612763,MEM,27.0,2022-23,113,195,0.579,0
130,1627734,Domantas Sabonis,1610612758,SAC,26.0,2022-23,407,573,0.71,0
131,1631230,Dominick Barlow,1610612759,SAS,19.0,2022-23,36,55,0.655,0
132,1628378,Donovan Mitchell,1610612739,CLE,26.0,2022-23,227,334,0.68,0
133,1631495,Donovan Williams,1610612737,ATL,21.0,2022-23,2,2,1.0,0
134,1628978,Donte DiVincenzo,1610612744,GSW,26.0,2022-23,58,92,0.63,0
135,1627827,Dorian Finney-Smith,1610612751,BKN,29.0,2022-23,72,126,0.571,0
136,203926,Doug McDermott,1610612759,SAS,31.0,2022-23,72,111,0.649,0
137,203110,Draymond Green,1610612744,GSW,33.0,2022-23,134,194,0.691,0
138,1629234,Drew Eubanks,1610612757,POR,26.0,2022-23,137,183,0.749,0
